related_person_name,decayed_amount_sold,decayed_amount_percentile,gp_degree_norm,gp_pagerank_norm,investor_intent_score
aaronszekel,1490.4991668287062,0.4095127610208817,0.0,0.15307269297643045,0.19383242626098218
abdohajj,806144.7448454336,0.576355199325037,0.6616418958920284,0.7788422781642097,0.440181991346418
achalupadhyaya,145677407.825182,0.9860788863109049,0.0,0.39501877295549664,0.504486391282255
alecthegoresgroupllc,17645171.545353387,0.9066125290023201,0.14972584627239743,0.4653580057489354,0.4561838627529899
alexandrecohen,8344.226772095695,0.5092807424593968,0.0,0.18933307530312288,0.23374784607790566
alineogpllc,12640.618476251553,0.5301624129930395,0.0,0.19807866871627122,0.2703537778604625
alineogpspvllc,7004685.7842860175,0.781322505800464,0.33835810410797157,0.5867302899559478,0.44769922942995005
alinovawavefundigpllc,5037868.4845597185,0.8781902552204176,0.0,0.32417012986972266,0.4053719747833932
altspotcapitalllc,31061.163521040915,0.5835266821345708,0.0,0.21700995949097235,0.26364956356021657
amirrubin,92095782.1482126,0.9779582366589327,0.0,0.38536218247849974,0.4799478473969089
amritsaxecapvcholdingsllc,1202787.2040427942,0.5830294995028175,0.4626069959801624,0.6445578343781485,0.3911847570334625
andremvpventuresiigpllc,44272029.56181872,0.9593967517401392,0.0,0.36993751291768284,0.45456369930707763
andrewbraccia,8197919.919451098,0.6805877803557617,0.2559580248098155,0.5288432304734784,0.3934354011758318
andrewfvfigpllc,3.0079546381829014,0.06264501160092807,0.0,0.02842347246462988,0.048659332504459966
andrewng,2767099.756235703,0.537122969837587,0.0,0.3261488447082902,0.28337035432845536
andrewskatoff,109721.49002763623,0.6508120649651972,0.0,0.24358472075445117,0.29345614233475165
andymohtar,815.1249685720472,0.37470997679814383,0.0,0.14037520448322027,0.16866030929114126
annpefpreservationmanagingpartnersllc,42122143.297811374,0.95707656612529,0.0,0.3688892429773287,0.45783168845782296
anshumandube,259526.92022948206,0.6861948955916473,0.14972584627239743,0.3765057365968217,0.34973448403016516
anthonyavila,47539241.7496925,0.9605568445475638,0.0,0.3714369118489684,0.45252246377529354
anthonyexcolereequitypartnersfundigpllc,498.71253356007946,0.23588553750966743,0.14972584627239743,0.253347471819881,0.17143287378276276
antonfeingold,87564699.8228404,0.9767981438515081,0.0,0.38429976811880084,0.48025073865920775
anuhariharan,54.99602231911998,0.19953596287703015,0.0,0.0839540908723683,0.11018072453931763
appalachianfundmanagerllc,19.245298933013952,0.154292343387471,0.0,0.06253030263618678,0.08998937917154409
architectusgpllc,5026411.750817154,0.62877030162413,0.14972584627239743,0.438913977113727,0.34004969820073844
aresopcreditgpllc,4906094.805666973,0.8747099767981439,0.0,0.32361198500380445,0.4326416173667672
arianaarimindfulventurecapitaligpllc,3.752250798555,0.07540603248259861,0.0,0.03201047954744195,0.049452083715724654
arjanschutte,986108.2131134383,0.7830626450116009,0.0,0.2898247123957333,0.361005935157957
armendovlatian,1749.7798892971382,0.41647331786542924,0.0,0.1564479015974841,0.19276573420024026
ashchopra,71.02927366983474,0.19083526682134572,0.14972584627239743,0.20390149563568846,0.1444597313470262
ashleyrust,12999.10118693746,0.49245939675174016,0.14972584627239743,0.3134584978137251,0.2659214268659227
ashmeetengineeringcapitalequitypartnersvllc,33073688.81117322,0.9501160092807425,0.0,0.36379660863201635,0.44247546033737944
ashotarzumanyan,4843.057788673725,0.4767981438515081,0.0,0.17787871008471334,0.2254944058037546
ashugarg,151710.51144244126,0.6693735498839907,0.0,0.2504081524433139,0.3228953699887377
ateetislandgreencapitalgpllc,1997107.197367976,0.7877030162412992,0.14972584627239743,0.41947706850961664,0.3935752375718765
avichalgarg,1020703.0063921046,0.6569992266047952,0.2559580248098155,0.48497069656888386,0.37222579398660033
aydinsenkut,20115543.98571902,0.8526682134570766,0.14972584627239743,0.4681172833353999,0.47301658762389737
azperennialequitypartnersopportunitiesllc,9538872.473782636,0.9095127610208816,0.0,0.3376135559470115,0.4127720406687163
babakcotaventuresgpiillc,138459.86710716604,0.6629930394431555,0.14972584627239743,0.36327529135258463,0.33925203046344654
babakyazdani,617.4944208243247,0.35730858468677495,0.0,0.13453618500713105,0.18382496341380147
bengordon,598030.0139486825,0.7447795823665894,0.0,0.27929296166544965,0.3423501192197645
benjaminbluemoongpiillc,5026171.534636047,0.877030162412993,0.0,0.3241211798552554,0.3940280028914427
benjamingeniusventuresfoundingfundigpllc,1035750.2633305076,0.4802784222737819,0.0,0.305455454763067,0.24415101852211618
benjaminlincoln,594594.8238373958,0.6200696055684454,0.33835810410797157,0.534791064817993,0.37360320927683716
benjaminparr,301493.1386916455,0.5939675174013921,0.0,0.27946676562459744,0.28180684112941723
benjaminupventuresgpiillc,630772.892181551,0.7430394431554525,0.14972584627239743,0.3952072452088491,0.37079003853274173
benwood,203.50000379717596,0.3051044083526682,0.0,0.11123058588597613,0.14775360103515528
blockstreetcapitalgpllc,2.05786472342416,0.05568445475638051,0.0,0.022725862211015524,0.04237362116908952
brandonbelford,638119.3224205987,0.7354988399071927,0.14972584627239743,0.39545108724501077,0.3664621579355535
brandtblanken,21776807.897678312,0.9361948955916474,0.0,0.35499652040876334,0.43090515615513914
braytonboostvcdeeptechfundpartnersllc,50818408.63485053,0.9634570765661252,0.14972584627239743,0.4876333567327642,0.5014682027025174
brendanfifthwallreactgplp,110391176.75058308,0.9814385150812065,0.0,0.38917796121457904,0.5011222857073309
brentknudsen,15.49939330214112,0.1357308584686775,0.0,0.058221803995723576,0.0866372521708222
brettswiftventuresmanagementllc,35.598096903989024,0.17749419953596288,0.0,0.0749983418740796,0.09401908513232443
briancsoinvestmentmanagementllc,18.345958744535974,0.14849187935034802,0.0,0.06157343501731643,0.08551491134821142
brianduckfundgpllc,547.1286008659258,0.3503480278422274,0.0,0.1319928056840126,0.16849670274360573
brocktonvandenberg,51.78581941578829,0.1937354988399072,0.0,0.08271085184735345,0.11928042001796559
browningwestgplp,129986319.467407,0.9849187935034803,0.0,0.3926188595017267,0.5050828312975385
bruceleak,5439.770944596504,0.4814385150812065,0.0,0.18032500608408444,0.22314360945369408
bruceplaygroundgenesisgpllc,10293518.590047367,0.91415313225058,0.0,0.339216913549316,0.41838913579962866
bruceplaygroundventuresgpiillc,1762.6891893561938,0.4176334106728538,0.0,0.15660260410810006,0.19866410059303366
bruceplaygroundventuresgpllc,4869.420515882572,0.43793503480278423,0.0,0.1925873145850973,0.20897821201751582
bryancommonkindgpllc,74502.02475085441,0.6276102088167054,0.0,0.23543276086290038,0.29035614593919307
byunghoonkrewcapitalllc,568.6699369302156,0.35266821345707655,0.0,0.1328045426240674,0.17508510606539976
calcaplendingllc,552594.8822166555,0.740139211136891,0.0,0.2776290296183324,0.34137975259414866
calebsima,141310.82494665752,0.6647331786542924,0.0,0.24891276777041504,0.30311587145226415
camiloperceptiveventuresspvgpllc,11374764.134744035,0.9176334106728539,0.0,0.34132027103345874,0.4166605701405185
carlbpctacticalfundiiugpllc,125846.35251070462,0.6566125290023201,0.0,0.24647213064111398,0.3141597335921426
carllpsinvestcogpllc,18715151.664974436,0.931554524361949,0.0,0.3518059396548361,0.4305728657331629
carlwiese,18.559156761641358,0.14965197215777262,0.0,0.06180423365396887,0.08449054389743466
centercapitalpartnersllc,151.9692994160225,0.28074245939675174,0.0,0.10511672601794313,0.14691014725931312
charlesavkvoaigpllc,81557183.6812172,0.974477958236659,0.0,0.3828030833524564,0.5005919596751081
charlesnbventuresxaigpllc,126591169.54256718,0.9837587006960556,0.0,0.39206152209506145,0.5333593459251574
charlesreim,2.861568663587104,0.06148491879350348,0.0,0.02763994615929465,0.05084329931978995
chihuachien,12.490220428133966,0.13225058004640372,0.0,0.053981542619381456,0.08010320970875155
chispavcllc,3811.4313215259676,0.4593967517401392,0.0,0.17283555992618008,0.2070023504162034
christiansundancegrowthmanagementllc,48409.023044919355,0.5974477958236659,0.0,0.22635385413825856,0.2749236814189826
