index,cik,filing_date,issuer_name,issuer_state,issuer_industry_group,offering_amount_total,total_amount_sold,number_of_investors,date_of_first_sale,accession_number,fund_vertical,related_person_name,days_since_filing,days_to_first_sale,time_decay_weight,decayed_amount_sold,decayed_amount_percentile,sale_velocity,sale_acceleration,fund_momentum,gp_degree_norm,gp_pagerank_norm,velocity_norm,acceleration_norm,momentum_norm,investor_intent_score,actively_deploying,sector_intent_score,recent_burst_ratio,recent_burst_flag,intent_bucket,why_investor
0,0002099825,2025-12-10,"Preamble X Capital I, a series of Preamble X Capital LLC",NY,Pooled Investment Fund,8471429.0,8471429,2,2025-12-05,0002099825-25-000001,Generalist / Other,aaronchow,55,55.0,0.8519528019683106,7217257.673225603,0.9133611691022965,154025.9818181818,2800.4723966942147,27.73686219533606,0.0,0.33478087555127806,0.0048436711210317835,0.004847221326485491,0.7110689093071367,0.4050096974705658,0,0.6878914405010439,0.9999999999998614,1,❄️ Cold,Deployed $7217258 recently
1,0002099825,2025-12-23,"Preamble X Capital I, a series of Preamble X Capital LLC",NY,Pooled Investment Fund,13846429.0,13846429,2,2025-12-05,0002099825-25-000002,Generalist / Other,aaronchow,42,42.0,0.9168273035060777,12694784.163258355,0.930062630480167,329676.88095238095,7849.449546485261,29.062570076398362,0.0,0.33478087555127806,0.010372279608072047,0.013587595080429093,0.7470065903688837,0.41599192759579967,0,0.7098121085594989,0.9999999999999498,1,❄️ Cold,Deployed $12694784 recently
2,0001930132,2025-02-10,"MetaProp Ventures IV, L.P.",NY,Pooled Investment Fund,150000000.0,58950000,39,2022-11-23,0001930132-25-000001,Generalist / Other,aaronmetapropventuresgpivllc,358,358.0,1.5151418164850468e-06,89.3176100817935,0.21920668058455114,164664.80446927375,459.9575543834462,16.503865936344315,0.0,0.08889172280610465,0.0051785278481585005,0.0007955146358946834,0.4065615267305445,0.12249689396581925,0,0.08037578288100208,0.9999999888039998,1,❄️ Cold,
3,0002086280,2025-09-22,Thirdbase Opportunity LP - Series XX,NY,Pooled Investment Fund,2044859.0,2044859,3,2023-10-16,0002086280-25-000001,Generalist / Other,abhinavgupta,134,134.0,0.09975048911968513,203975.6854307902,0.6659707724425887,15260.141791044776,113.88165515705057,21.858755673455086,0.19688408644116215,0.3954732106457318,0.0004760191211455403,0.00019641651825000298,0.5517234603979396,0.34735048575349237,0,0.5448851774530271,0.9999999999950974,1,❄️ Cold,
4,0002086283,2025-09-22,Thirdbase Opportunity LP - Series XVII,NY,Pooled Investment Fund,400000.0,400000,3,2023-09-14,0002086283-25-000001,Generalist / Other,abhinavgupta,134,134.0,0.09975048911968513,39900.195647874054,0.5480167014613778,2985.0746268656717,22.276676319893074,18.59551654085658,0.19688408644116215,0.3954732106457318,8.96616311618367e-05,3.783751719590114e-05,0.4632626095191135,0.30067052412329864,0,0.42275574112734865,0.9999999999958995,1,❄️ Cold,
5,0002086285,2025-09-22,Thirdbase Opportunity LP - Series XV,NY,Pooled Investment Fund,4000000.0,4000000,2,2023-05-25,0002086285-25-000001,Generalist / Other,abhinavgupta,134,134.0,0.09975048911968513,399001.95647874055,0.7223382045929019,29850.746268656716,222.7667631989307,23.200686718532683,0.19688408644116215,0.3954732106457318,0.000935258101097152,0.0003849094569760079,0.5881009237846788,0.3691310925493049,0,0.6012526096033403,0.9999999999984445,1,❄️ Cold,
6,0002086281,2025-09-22,Thirdbase Opportunity LP - Series XIX,NY,Pooled Investment Fund,290000.0,290000,3,2023-09-29,0002086281-25-000001,Generalist / Other,abhinavgupta,134,134.0,0.09975048911968513,28927.64184470869,0.5260960334029228,2164.179104477612,16.150590331922476,17.952349300178973,0.19688408644116215,0.3954732106457318,6.38239612471465e-05,2.723254125817565e-05,0.44582744186640694,0.29190647020162525,0,0.40292275574112735,0.9999999999985114,1,❄️ Cold,
7,0002073386,2025-06-20,Thirdbase Opportunity LP - Series APP,NY,Pooled Investment Fund,1000000.0,1000000,5,2025-02-13,0002073386-25-000001,Generalist / Other,abhinavthirdbasecapitalgpllc,228,228.0,0.001006770820085637,1006.770820085637,0.34237995824634654,4385.964912280701,19.23668821175746,15.300668435486482,0.4329437444549922,0.6272464388864699,0.0001337546244771772,3.257493994820081e-05,0.3739448932641499,0.2915246325696207,0,0.40083507306889354,0.9999999990067253,1,❄️ Cold,
8,0002073941,2025-07-10,Thirdbase Opportunity LP - Series APP II,NY,Pooled Investment Fund,676500.0,676500,3,2025-04-07,0002073941-25-000001,Generalist / Other,abhinavthirdbasecapitalgpllc,208,208.0,0.002731960763011059,1848.1714561769816,0.3778705636743215,3252.403846153846,15.636556952662723,15.609101840467764,0.4329437444549922,0.6272464388864699,9.807581291596067e-05,2.634268897256591e-05,0.38230599716595665,0.30371056664055524,0,0.4321503131524008,0.9999999996497303,1,❄️ Cold,
9,0002086284,2025-10-30,Thirdbase Opportunity LP - Series XVI,NY,Pooled Investment Fund,5250000.0,5250000,6,2023-03-29,0002086284-25-000001,Generalist / Other,abhinavthirdbasecapitalgpllc,96,96.0,0.425557483188341,2234176.7867387906,0.8455114822546973,54687.5,569.6614583333334,25.528773833207435,0.4329437444549922,0.6272464388864699,0.0017169944209592277,0.0009854250067167075,0.6512113973711385,0.4806526958343708,0,0.8705636743215032,0.9987237810531555,1,❄️ Cold,"Deployed $2234177 recently, Hot in this sector"
