index,cik,filing_date,issuer_name,issuer_state,issuer_industry_group,offering_amount_total,total_amount_sold,number_of_investors,date_of_first_sale,accession_number,fund_vertical,related_person_name,days_since_filing,days_to_first_sale,time_decay_weight,decayed_amount_sold,decayed_amount_percentile,sale_velocity,sale_acceleration,fund_momentum,gp_degree_norm,gp_pagerank_norm,velocity_norm,acceleration_norm,momentum_norm,investor_intent_score,actively_deploying,sector_intent_score,recent_burst_ratio,recent_burst_flag,intent_bucket,why_investor
0,0002014789,2025-03-19,"Encoded Ventures Fund I, L.P.",MA,Pooled Investment Fund,30000000.0,15650000,55,2024-03-20,0002014789-25-000001,Generalist / Other,alexanderencodedventuresfundigpllc,321,321.0,9.635950251531879e-06,150.8026214364739,0.2347417840375587,48753.894080996884,151.88128997195292,15.8105123267876,0.0,0.09863183421384139,0.0017551423415525375,0.0005408864683120132,0.35019318490814055,0.12235334148617069,0,0.14084507042253522,0.9999999933688156,1,❄️ Cold,
1,0002065054,2025-04-18,"Wildwood Capital MA SPV, LLC",MA,Pooled Investment Fund,1300000.0,1300000,26,2025-03-31,0001104659-25-036329,Generalist / Other,alexanderwildwoodcapitaladvisorsllc,291,291.0,4.31838841319577e-05,56.139049371545006,0.1784037558685446,4467.353951890034,15.351731793436544,12.432387180219559,0.0,0.07752292631728903,0.00014745647854639461,5.0219209693727255e-05,0.2508848717984162,0.09151300868715218,0,0.07511737089201878,0.9999999821870874,1,❄️ Cold,
2,0002016139,2025-03-19,"New Summit Impact Fund IV, L.P.",MA,Pooled Investment Fund,100000000.0,6950000,18,2024-04-01,0002016139-25-000001,Generalist / Other,alexandranewsummitimpactfundivgpllc,321,321.0,9.635950251531879e-06,66.96985424814656,0.19718309859154928,21651.090342679126,67.44887957220912,14.187054365624286,0.0,0.08127283499795154,0.0007712588796497244,0.00023744873730282214,0.30246763759042994,0.10326541595490622,0,0.09859154929577464,0.9999999850679087,1,❄️ Cold,
3,0001981823,2025-06-20,"Argon Ventures II, L.P.",MA,Pooled Investment Fund,20000000.0,13160000,41,2023-06-22,0001981823-25-000001,Generalist / Other,andrewargonventuresgpiillc,228,228.0,0.001006770820085637,13249.103992326982,0.4694835680751174,57719.29824561404,253.15481686672823,20.455032062121866,0.0,0.19518299495383754,0.0020806036101359967,0.0009048487082475692,0.48673028762307674,0.22281282043561992,0,0.2535211267605634,0.9999999999245232,1,❄️ Cold,
4,0002025292,2025-05-20,BOLD Longevity Growth Fund LP,MA,Pooled Investment Fund,200000000.0,57670000,30,2024-05-17,0002025292-25-000001,Clean Tech,avetikboldlongevitygrowthgpllc,259,259.0,0.00021385467176454273,12332.998920661179,0.45539906103286387,222664.09266409266,859.7069214829833,21.73345339230587,0.0,0.19363517477297,0.008068414204279844,0.0030847082372154207,0.5243126329287396,0.22321766334138304,0,0.26291079812206575,0.9999999999189166,1,❄️ Cold,
5,0001992343,2025-04-07,"Ballentine Private Real Assets Fund, LP",MA,Pooled Investment Fund,49230000.0,49230000,63,2023-10-20,0001992343-25-000001,Generalist / Other,ballentinefundsgpllc,302,302.0,2.4915388939429926e-05,1226.5845974881352,0.3427230046948357,163013.2450331126,539.7789570632867,19.113575575395828,0.25772180839315645,0.4582736963413463,0.005902974678566454,0.0019349339366798001,0.447294868558688,0.25192390877662635,0,0.2863849765258216,0.9999999991847279,1,❄️ Cold,
6,0002011500,2025-05-09,"Ballentine Income Opportunities Fund II, LP",MA,Pooled Investment Fund,45825000.0,45825000,53,2024-03-22,0002011500-25-000002,Generalist / Other,ballentinefundsgpllc,270,270.0,0.00012339457598623172,5654.556444569069,0.4131455399061033,169722.22222222222,628.6008230452675,20.682135343233977,0.25772180839315645,0.4582736963413463,0.006146523344836577,0.002254146728899889,0.4934065482026588,0.2791524323036241,0,0.3004694835680751,0.8217469180164952,1,❄️ Cold,
7,0002011510,2025-06-05,"Ballentine Private Equity Fund III, L.P.",MA,Pooled Investment Fund,134590000.0,134590000,87,2024-04-10,0002011510-25-000002,Generalist / Other,ballentinefundsgpllc,243,243.0,0.00047581761883833595,64040.29331945164,0.5633802816901409,553868.3127572016,2279.2934681366323,24.291949982251477,0.25772180839315645,0.4582736963413463,0.020091759014223682,0.0081864946086852,0.5995259448756369,0.34106151350787783,0,0.4225352112676056,0.982705022684418,1,❄️ Cold,
8,0001992286,2025-08-25,"Ballentine Private Impact Fund, LP",MA,Pooled Investment Fund,34800000.0,34800000,39,2023-09-27,0001992286-25-000002,Generalist / Other,ballentinefundsgpllc,162,162.0,0.026596993576865856,925575.3764749318,0.7793427230046949,214814.8148148148,1326.0173754000914,26.01570246125384,0.25772180839315645,0.4582736963413463,0.007783470449443655,0.00476055979010325,0.6501998966924728,0.4126102857903285,0,0.6009389671361502,0.9288292410058919,1,❄️ Cold,
9,0002051790,2025-01-15,"BGA Horizon Fund, LLC - Stone Ridge 2025 Series",MA,Pooled Investment Fund,22475000.0,22475000,38,2025-01-01,0002051790-25-000001,Generalist / Other,batteryglobaladvisorsllc,384,384.0,4.129247710803902e-07,9.280484230031771,0.11267605633802817,58528.645833333336,152.41834852430557,13.20518715215973,0.5264750861319193,0.6229439956557062,0.0021099844710305523,0.0005428165781806455,0.2736032313188115,0.22285088961400917,0,0.25821596244131456,0.9999998922470136,1,❄️ Cold,
