index,cik,filing_date,issuer_name,issuer_state,issuer_industry_group,offering_amount_total,total_amount_sold,number_of_investors,date_of_first_sale,accession_number,fund_vertical,related_person_name,days_since_filing,days_to_first_sale,time_decay_weight,decayed_amount_sold,decayed_amount_percentile,sale_velocity,sale_acceleration,fund_momentum,gp_degree_norm,gp_pagerank_norm,velocity_norm,acceleration_norm,momentum_norm,investor_intent_score,actively_deploying,sector_intent_score,recent_burst_ratio,recent_burst_flag,intent_bucket,why_investor
430,0001998901,2025-12-10,"LEEDS EQUITY PARTNERS VIII-A, L.P.",NY,Pooled Investment Fund,1800000000.0,1747427215,88,2023-12-18,0001998901-25-000002,Generalist / Other,jeffreyleeds,55,55.0,0.8519528019683106,1488725512.0549314,0.9994780793319415,31771403.90909091,577661.8892561983,38.395263424879275,0.08712259615500177,0.4916860446940278,1.0,1.0,1.0,0.7927749261343048,1,0.9994780793319415,0.9999999999999993,1,🔥 Hot,"Deployed $1488725512 recently, Top 30% in deployment velocity, Hot in this sector"
431,0001998851,2025-12-10,"LEEDS EQUITY PARTNERS VIII, L.P.",NY,Pooled Investment Fund,1800000000.0,1747427215,90,2023-12-18,0001998851-25-000002,Generalist / Other,jeffreyleeds,55,55.0,0.8519528019683106,1488725512.0549314,0.9994780793319415,31771403.90909091,577661.8892561983,38.395263424879275,0.08712259615500177,0.4916860446940278,1.0,1.0,1.0,0.7927749261343048,1,0.9994780793319415,0.9999999999999997,1,🔥 Hot,"Deployed $1488725512 recently, Top 30% in deployment velocity, Hot in this sector"
286,0002039250,2025-12-31,"Blue Owl GP Stakes Access Fund VI, LP",NY,Pooled Investment Fund,667422000.0,667422000,1435,2024-09-23,0002039250-25-000002,Generalist / Other,edwardicapitalalternativeinvestmentsllc,34,34.0,0.9426758241011313,629162583.8732252,0.9979123173277662,19630058.82352941,577354.6712802768,37.05247282405215,0.14893706185882832,0.5107546083007036,0.617851409728134,0.999468169521505,0.9635992355219553,0.7319617820842224,1,0.9979123173277662,0.9999999999999991,1,🔥 Hot,"Deployed $629162584 recently, Hot in this sector"
48,0002099114,2025-12-09,MONTICELLOAM FUNDING LLC SERIES SH-97,NY,Pooled Investment Fund,625000000.0,625000000,40,2025-11-13,0002099114-25-000001,Generalist / Other,alanparkcollinsmanagerllc,56,56.0,0.8455347349164652,528459209.3227908,0.9958246346555324,11160714.285714285,199298.4693877551,36.31338669527994,0.32318225416883184,0.6119006223653515,0.351278962207333,0.3450083836074903,0.9435638703013054,0.6427887247009749,1,0.9968684759916493,0.9613413253214799,1,🔥 Hot,"Deployed $528459209 recently, Hot in this sector"
715,0002056882,2025-12-29,EquityZen Growth Technology Fund II LLC - Series 11,NY,Pooled Investment Fund,5650094.0,5650094,20,2025-12-17,0002056882-25-000002,Generalist / Other,llcequityzenadvisors,36,36.0,0.9370266439430035,5294288.618782501,0.8987473903966597,156947.05555555556,4359.640432098766,27.445802980073243,1.0,1.0,0.004935611857659477,0.007546324723141136,0.7031787900752772,0.6397110130356144,1,0.9958246346555324,0.5968011325656211,1,🔥 Hot,"Deployed $5294289 recently, Highly central in VC syndicates, Hot in this sector"
668,0002062626,2025-10-31,EquityZen Growth Technology Fund II LLC - Series 29,NY,Pooled Investment Fund,6664020.0,6664020,102,2025-10-24,0002062626-25-000002,Generalist / Other,llcequityzenadvisors,95,95.0,0.43782349911420193,2917664.554567024,0.8653444676409185,70147.57894736843,738.3955678670361,26.044650616575087,1.0,1.0,0.0022036000922084913,0.0012775236117627722,0.6651959376855332,0.6239797742636564,1,0.9947807933194155,0.674782054768248,1,🔥 Hot,"Deployed $2917665 recently, Highly central in VC syndicates, Hot in this sector"
713,0002085512,2025-12-23,EquityZen Growth Opportunity Fund XI LLC - Series 2,NY,Pooled Investment Fund,2152000.0,2152000,39,2025-10-31,0002085512-25-000002,Generalist / Other,llcequityzenadvisors,42,42.0,0.9168273035060777,1973012.3571450792,0.8392484342379958,51238.09523809524,1219.954648526077,25.339310630100197,1.0,1.0,0.0016084244760520069,0.0021111590639928705,0.6460753728641794,0.6137098917359451,1,0.9937369519832986,0.5852846430505774,1,🔥 Hot,"Deployed $1973012 recently, Highly central in VC syndicates, Hot in this sector"
685,0002090500,2025-11-26,EquityZen Growth Technology Fund LLC - Series 2184,NY,Pooled Investment Fund,2480000.0,2480000,70,2025-11-21,0002090500-25-000001,Generalist / Other,llcequityzenadvisors,69,69.0,0.740774899182154,1837121.7499717418,0.8340292275574113,35942.02898550725,520.8989708044529,24.91337325208257,1.0,1.0,0.0011269811010438389,0.0009010114010437114,0.6345289365322112,0.6106532244379059,1,0.9926931106471816,0.6956050580404985,1,🔥 Hot,"Deployed $1837122 recently, Highly central in VC syndicates, Hot in this sector"
702,0002073626,2025-12-15,EquityZen Growth Technology Fund LLC - Series 2123,NY,Pooled Investment Fund,2000080.0,2000080,91,2025-12-08,0002073626-25-000002,Generalist / Other,llcequityzenadvisors,50,50.0,0.8807970779778823,1761664.619722003,0.8288100208768268,40001.6,800.0319999999999,24.978444458991554,1.0,1.0,0.0012547560163735918,0.0013842235309184726,0.6362929060413343,0.6092404601913755,1,0.9916492693110647,0.4660791056896194,0,🔥 Hot,"Deployed $1761665 recently, Highly central in VC syndicates, Hot in this sector"
704,0002096147,2025-12-16,EquityZen Growth Technology Fund LLC - Series 2214,NY,Pooled Investment Fund,1720925.0,1720925,77,2025-12-16,0002096147-25-000001,Generalist / Other,llcequityzenadvisors,49,49.0,0.8859476187202091,1524649.4057460758,0.8152400835073069,35120.91836734694,716.7534360683048,24.703827240559423,1.0,1.0,0.0011011366609940804,0.0012400585341557468,0.6288485013191041,0.6041086884773262,1,0.9906054279749478,0.5196188039468159,1,🔥 Hot,"Deployed $1524649 recently, Highly central in VC syndicates, Hot in this sector"
