index,cik,filing_date,issuer_name,issuer_state,issuer_industry_group,offering_amount_total,total_amount_sold,number_of_investors,date_of_first_sale,accession_number,fund_vertical,related_person_name,days_since_filing,days_to_first_sale,time_decay_weight,decayed_amount_sold,decayed_amount_percentile,sale_velocity,sale_acceleration,fund_momentum,gp_degree_norm,gp_pagerank_norm,velocity_norm,acceleration_norm,momentum_norm,investor_intent_score,actively_deploying,sector_intent_score,recent_burst_ratio,recent_burst_flag,intent_bucket,why_investor
0,0002085328,2025-09-10,"Ramrod Investments I, LLC",TX,Pooled Investment Fund,2520000.0,2520000,4,2025-08-20,0002085328-25-000001,Generalist / Other,aaroncate,146,146.0,0.057324175898868755,144456.92326514926,0.7092592592592593,17260.27397260274,118.22105460686808,21.63689947137997,0.0,0.25492551842242517,0.0008365129674052242,0.00034550528445362983,0.5787658705038542,0.31562264519230676,0,0.5203703703703704,0.9999999999930774,1,❄️ Cold,
1,0002023866,2025-01-16,"Augment Collective, LLC",TX,Pooled Investment Fund,9999974.0,1746904,11,2024-12-24,0002023866-25-000002,Generalist / Other,adamcrawley,383,383.0,4.3409586762421055e-07,0.7583238075362039,0.08333333333333333,4561.107049608355,11.908895690883433,8.148964925401168,0.0,0.35037171074226253,0.00022060299542294825,3.4720778421066164e-05,0.21775185974107428,0.09053033296243226,0,0.04814814814814815,0.9999986813038554,1,❄️ Cold,
2,0002023866,2025-05-27,"Augment Collective, LLC",TX,Pooled Investment Fund,1017629.0,270027,4,2025-04-23,0002023866-25-000005,Generalist / Other,adamcrawley,252,252.0,0.00030344703002891917,81.93889117761896,0.3388888888888889,1071.5357142857142,4.252125850340136,11.382833274769501,0.0,0.35037171074226253,5.13586822800875e-05,1.2337586724443653e-05,0.30430861008001586,0.1809306358147349,0,0.18518518518518517,0.9908301047562191,1,❄️ Cold,
3,0002023866,2025-08-04,"Augment Collective, LLC",TX,Pooled Investment Fund,3000000.0,3000000,23,2025-04-18,0002023866-25-000008,Generalist / Other,adamcrawley,183,183.0,0.009471043581946108,28413.130745838323,0.6037037037037037,16393.44262295082,89.58165367732688,19.959243363441807,0.0,0.35037171074226253,0.0007944716212669389,0.0002617831386359539,0.5338622302806001,0.28879043237078106,0,0.4388888888888889,0.9971244536960773,1,❄️ Cold,
4,0002023866,2025-08-04,"Augment Collective, LLC",TX,Pooled Investment Fund,1000000.0,212000,8,2025-05-27,0002023866-25-000007,Generalist / Other,adamcrawley,183,183.0,0.009471043581946108,2007.8612393725748,0.47962962962962963,1158.4699453551912,6.330436859864433,14.659681205252296,0.0,0.35037171074226253,5.557499506241267e-05,1.8413155756838984e-05,0.3920157389966517,0.23473987374802022,0,0.30185185185185187,0.9973137370796601,1,❄️ Cold,
5,0002023866,2025-08-05,"Augment Collective, LLC",TX,Pooled Investment Fund,877560.0,877560,3,2025-06-11,0002023866-25-000010,Generalist / Other,adamcrawley,182,182.0,0.009951801866904324,8733.303246320558,0.5444444444444444,4821.758241758242,26.493177152517813,17.555792900720945,0.0,0.35037171074226253,0.00023324458596409614,7.73553063632169e-05,0.4695321960371287,0.2632713137772437,0,0.35,0.9979116524812429,1,❄️ Cold,
6,0002023866,2025-08-05,"Augment Collective, LLC",TX,Pooled Investment Fund,949515.0,949515,13,2025-05-20,0002023866-25-000009,Generalist / Other,adamcrawley,182,182.0,0.009951801866904324,9449.385149653659,0.5481481481481482,5217.115384615385,28.66546914623838,17.713404894948138,0.0,0.35037171074226253,0.00025241941910525455,8.370561192667048e-05,0.4737507914036997,0.2648825720057191,0,0.3537037037037037,0.9983169795639747,1,❄️ Cold,
7,0002023866,2025-08-05,"Augment Collective, LLC",TX,Pooled Investment Fund,4320000.0,3894696,10,2025-05-27,0002023866-25-000012,Generalist / Other,adamcrawley,182,182.0,0.009951801866904324,38759.2429238248,0.6314814814814815,21399.428571428572,117.57927786499215,20.536244032994272,0.0,0.35037171074226253,0.0010372620880721103,0.00034362916539311183,0.5493060571480761,0.29927722775365334,0,0.4777777777777778,0.999062965048846,1,❄️ Cold,
8,0002023866,2025-08-05,"Augment Collective, LLC",TX,Pooled Investment Fund,1079969.0,661046,7,2025-06-30,0002023866-25-000013,Generalist / Other,adamcrawley,182,182.0,0.009951801866904324,6578.598816909635,0.5296296296296297,3632.120879120879,19.956708127037796,16.989149118599464,0.0,0.35037171074226253,0.00017554713863278105,5.824711292612997e-05,0.4543655785123977,0.25700123276029785,0,0.3351851851851852,0.999128527164456,1,❄️ Cold,
9,0002023866,2025-08-05,"Augment Collective, LLC",TX,Pooled Investment Fund,1783217.0,1754753,14,2025-06-11,0002023866-25-000011,Generalist / Other,adamcrawley,182,182.0,0.009951801866904324,17462.954181355963,0.575925925925926,9641.5,52.97527472527472,18.941668995279798,0.0,0.35037171074226253,0.00046700220402527573,0.0001547709632060011,0.5066261399327944,0.2771061484909565,0,0.3851851851851852,0.9992650324971526,1,❄️ Cold,
10,0002023866,2025-08-22,"Augment Collective, LLC",TX,Pooled Investment Fund,2439000.0,2439000,9,2025-07-31,0002023866-25-000014,Generalist / Other,adamcrawley,165,165.0,0.022977369910025615,56041.80521055248,0.6555555555555556,14781.818181818182,89.58677685950413,20.535006417330255,0.0,0.35037171074226253,0.0007163077881270952,0.0002617981153390752,0.5492729314983982,0.3069100273923927,0,0.5037037037037037,0.9995108949884439,1,❄️ Cold,
11,0002023866,2025-08-22,"Augment Collective, LLC",TX,Pooled Investment Fund,6054309.0,5978815,19,2025-06-17,0002023866-25-000015,Generalist / Other,adamcrawley,165,165.0,0.022977369910025615,137377.4438786098,0.7055555555555556,36235.242424242424,219.60752984389347,22.32827495343849,0.0,0.35037171074226253,0.001756799499449507,0.0006418904387596636,0.5972710192996281,0.3279427357593642,0,0.5481481481481482,0.9997312647753859,1,❄️ Cold,
12,0002023866,2025-10-02,"Augment Collective, LLC",TX,Pooled Investment Fund,1090000.0,40000,3,2025-09-30,0002023866-25-000029,Generalist / Other,adamcrawley,124,124.0,0.1544652650835347,6178.610603341388,0.5277777777777778,322.5806451612903,2.6014568158168574,14.50520237293164,0.0,0.35037171074226253,1.5034339239509644e-05,7.512152213956697e-06,0.38788100490197464,0.24972520230748663,0,0.32592592592592595,0.01986153303816703,0,❄️ Cold,
13,0002023866,2025-10-02,"Augment Collective, LLC",TX,Pooled Investment Fund,2861391.0,2617524,10,2025-09-30,0002023866-25-000028,Generalist / Other,adamcrawley,124,124.0,0.1544652650835347,404316.53852251405,0.7851851851851852,21109.064516129034,170.2343912591051,22.867411186604336,0.0,0.35037171074226253,0.0010231794227879508,0.000497556934080514,0.6117013780190634,0.35471788147842864,0,0.6185185185185185,0.5737974313573059,1,❄️ Cold,
14,0002023866,2025-10-20,"Augment Collective, LLC",TX,Pooled Investment Fund,760155.0,760155,1,2025-10-15,0002023866-25-000031,Generalist / Other,adamcrawley,106,106.0,0.31002551887238755,235667.44829843976,0.7518518518518519,7171.273584905661,67.65352438590246,21.248015518204856,0.0,0.35037171074226253,0.0003471961497119203,0.00019768019030396526,0.5683571192470586,0.3395591267361546,0,0.575925925925926,0.6794071713246419,1,❄️ Cold,
15,0002023866,2025-10-20,"Augment Collective, LLC",TX,Pooled Investment Fund,30115350.0,17171350,21,2025-10-15,0002023866-25-000030,Generalist / Other,adamcrawley,106,106.0,0.31002551887238755,5323556.693489372,0.9055555555555556,161993.8679245283,1528.2440370238521,27.482965950526204,0.0,0.35037171074226253,0.007856096561854526,0.004467454274609418,0.7352399325352152,0.40729656821445775,0,0.7444444444444445,0.9514065515530115,1,❄️ Cold,Deployed $5323557 recently
16,0002023866,2025-12-11,"Augment Collective, LLC",TX,Pooled Investment Fund,1967833.0,965326,21,2025-11-28,0002023866-25-000034,Generalist / Other,adamcrawley,54,54.0,0.8581489350995123,828393.4789238718,0.8277777777777777,17876.40740740741,331.04458161865574,23.418480637188573,0.0,0.35037171074226253,0.0008663954572464088,0.0009676566487838065,0.6264511376569146,0.36985067792381027,0,0.6611111111111111,0.11662690205382917,0,❄️ Cold,Deployed $828393 recently
17,0002023866,2025-12-18,"Augment Collective, LLC",TX,Pooled Investment Fund,1678149.0,1678149,1,2025-12-10,0002023866-25-000035,Generalist / Other,adamcrawley,47,47.0,0.8956687768809987,1503065.662254071,0.8518518518518519,35705.29787234042,759.6871887732005,24.706071711803617,0.0,0.35037171074226253,0.0017310971729824762,0.002220716339108708,0.6609144141863607,0.38130672275213007,0,0.6888888888888889,0.2709108246214141,0,❄️ Cold,Deployed $1503066 recently
18,0002023866,2025-12-19,"Augment Collective, LLC",TX,Pooled Investment Fund,982153.0,698397,11,2025-12-10,0002023866-25-000036,Generalist / Other,adamcrawley,46,46.0,0.9002495108803148,628731.5576502793,0.8148148148148148,15182.54347826087,330.0552930056711,22.979361259778283,0.0,0.35037171074226253,0.0007357429768761859,0.0009647646411710832,0.6146978001016249,0.364503331532753,0,0.6462962962962963,0.3205496541796975,0,❄️ Cold,Deployed $628732 recently
19,0002023866,2025-12-30,"Augment Collective, LLC",TX,Pooled Investment Fund,3200000.0,2301440,32,2025-12-18,0002023866-25-000037,Generalist / Other,adamcrawley,35,35.0,0.9399133498259924,2163154.179823532,0.8703703703703703,65755.42857142857,1878.7265306122447,25.680775493404873,0.0,0.35037171074226253,0.003188529402133379,0.00549202690819698,0.6870030432720071,0.39049640665615837,0,0.7018518518518518,0.4494994972636767,0,❄️ Cold,Deployed $2163154 recently
20,0002023866,2025-12-30,"Augment Collective, LLC",TX,Pooled Investment Fund,867522.0,708282,5,2025-12-22,0002023866-25-000038,Generalist / Other,adamcrawley,35,35.0,0.9399133498259924,665723.7072414536,0.8185185185185185,20236.628571428573,578.1893877551021,23.323879546497995,0.0,0.35037171074226253,0.0009808662536237732,0.001690140109535731,0.6239190732362047,0.3667418112774145,0,0.6518518518518519,0.47987856180957655,0,❄️ Cold,Deployed $665724 recently
